epoch,accuracy,auc,fn,fp,learning_rate,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.8477723002433777,0.8959139585494995,405.0,333.0,9.999999747378752e-05,0.562485933303833,0.9027453064918518,0.8841533064842224,1019.0,3091.0,0.7216981053352356,0.5493277311325073,0.0,236.0,1.3009122610092163,0.7216981053352356,1.0,0.0,612.0
1,0.8943996429443359,0.9396959543228149,227.0,284.0,9.999999747378752e-05,0.44550442695617676,0.9197966456413269,0.9348450303077698,1071.0,3257.0,0.7287735939025879,0.8924822211265564,0.0,230.0,1.109646201133728,0.7255370020866394,1.0,10.0,608.0
2,0.9173383116722107,0.9608274102210999,170.0,230.0,9.999999747378752e-05,0.3887670636177063,0.9352295398712158,0.9513033628463745,1118.0,3321.0,0.7728894352912903,0.8981316089630127,3.0,188.0,0.9236249327659607,0.7608142495155334,0.9950082898139954,52.0,598.0
3,0.9220913648605347,0.9671898484230042,163.0,214.0,9.999999747378752e-05,0.35947006940841675,0.9395309686660767,0.9532683491706848,1137.0,3325.0,0.7384066581726074,0.8428000211715698,0.0,220.0,1.2299902439117432,0.7307221293449402,1.0,24.0,597.0
4,0.9276710152626038,0.9687849879264832,152.0,198.0,9.999999747378752e-05,0.3416469097137451,0.9438616633415222,0.9563344120979309,1160.0,3329.0,0.8489893078804016,0.9635434150695801,4.0,123.0,0.5800595879554749,0.8291666507720947,0.9933444261550903,117.0,597.0
5,0.9270510673522949,0.9676635265350342,147.0,206.0,9.999999747378752e-05,0.340560644865036,0.9419555068016052,0.9578796625137329,1143.0,3343.0,0.7324613332748413,0.8328619003295898,0.0,225.0,1.3610130548477173,0.7279322743415833,1.0,14.0,602.0
6,0.9338706135749817,0.9699116945266724,130.0,190.0,9.999999747378752e-05,0.3214057683944702,0.9465090036392212,0.9627720713615417,1157.0,3362.0,0.771700382232666,0.8561134338378906,1.0,191.0,1.137330174446106,0.7582278251647949,0.9983333349227905,50.0,599.0
7,0.9398636221885681,0.9752827286720276,130.0,161.0,9.999999747378752e-05,0.30179470777511597,0.9541049003601074,0.9626114368438721,1201.0,3347.0,0.7348394989967346,0.8212310075759888,0.0,223.0,1.5040414333343506,0.7290400862693787,1.0,18.0,600.0
8,0.9361438155174255,0.9753347039222717,146.0,163.0,9.999999747378752e-05,0.2992091774940491,0.9536405205726624,0.9582737684249878,1177.0,3353.0,0.7419738173484802,0.8209617137908936,0.0,217.0,1.4074528217315674,0.7353658676147461,1.0,21.0,603.0
9,0.9452366232872009,0.9806411266326904,122.0,143.0,9.999999747378752e-05,0.2733493447303772,0.9592127799987793,0.9649928212165833,1211.0,3363.0,0.8715814352035522,0.9538116455078125,3.0,105.0,0.552890419960022,0.8508522510528564,0.9950166344642639,134.0,599.0
10,0.9468898773193359,0.981453001499176,113.0,144.0,9.999999747378752e-05,0.26576483249664307,0.9590210318565369,0.9675567150115967,1212.0,3370.0,0.9036861062049866,0.9645081162452698,4.0,77.0,0.4124629497528076,0.8859259486198425,0.9933554530143738,162.0,598.0
11,0.9466832280158997,0.98297518491745,115.0,143.0,9.999999747378752e-05,0.2556331157684326,0.9593056440353394,0.9670109152793884,1210.0,3371.0,0.931034505367279,0.9850954413414001,4.0,54.0,0.30585169792175293,0.9173047542572021,0.9933664798736572,184.0,599.0
12,0.9481297731399536,0.9802809953689575,116.0,135.0,9.999999747378752e-05,0.25603950023651123,0.961604118347168,0.9668287038803101,1207.0,3381.0,0.854934573173523,0.9221023917198181,2.0,120.0,0.734824001789093,0.8328690528869629,0.996666669845581,121.0,598.0
13,0.947716474533081,0.9834895730018616,115.0,138.0,9.999999747378752e-05,0.24523510038852692,0.9605376124382019,0.9668969511985779,1227.0,3359.0,0.8608798980712891,0.9334232211112976,4.0,113.0,0.7039958238601685,0.8406205773353577,0.9933333396911621,128.0,596.0
14,0.9510229229927063,0.9834538102149963,116.0,121.0,9.999999747378752e-05,0.23539572954177856,0.9655565023422241,0.9669327139854431,1210.0,3392.0,0.9072532653808594,0.9655917286872864,18.0,60.0,0.3683660328388214,0.90625,0.9698996543884277,183.0,580.0
15,0.955569326877594,0.9845561981201172,97.0,118.0,9.999999747378752e-05,0.22996853291988373,0.9662181735038757,0.9720622301101685,1249.0,3375.0,0.8882282972335815,0.9442000985145569,6.0,88.0,0.5283752679824829,0.8705882430076599,0.9899665713310242,155.0,592.0
16,0.9495763778686523,0.9841691255569458,114.0,130.0,9.999999747378752e-05,0.22941981256008148,0.9628465175628662,0.9672695994377136,1226.0,3369.0,0.8038049936294556,0.8597510457038879,0.0,165.0,1.1483078002929688,0.7843137383460999,1.0,76.0,600.0
17,0.960322380065918,0.9890973567962646,95.0,97.0,4.999999873689376e-05,0.20572151243686676,0.9723094701766968,0.9728648662567139,1241.0,3406.0,0.9108204245567322,0.9729944467544556,3.0,72.0,0.40691742300987244,0.8923766613006592,0.9950000047683716,169.0,597.0
