epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5422855019569397,0.7839879989624023,9.999999747378752e-05,1.32163405418396,0.6281165480613708,0.43131187558174133,0.23113207519054413,0.4905518889427185,2.721727132797241,0.24438902735710144,0.23113207519054413
1,0.6435213685035706,0.8658488988876343,9.999999747378752e-05,1.0592193603515625,0.7166844606399536,0.5556933283805847,0.3679245412349701,0.7047381401062012,1.6214807033538818,0.3899018168449402,0.3278301954269409
2,0.6782392859458923,0.8908479809761047,9.999999747378752e-05,0.9708104133605957,0.7360100150108337,0.6061169505119324,0.5330188870429993,0.779256284236908,1.590988278388977,0.5762943029403687,0.4988207519054413
3,0.715230405330658,0.9121293425559998,9.999999747378752e-05,0.8814759850502014,0.7639873027801514,0.646207869052887,0.33726415038108826,0.6580206751823425,3.109480142593384,0.3371069133281708,0.31603774428367615
4,0.7280429601669312,0.921478807926178,9.999999747378752e-05,0.8383526802062988,0.7797303795814514,0.669353187084198,0.6379716992378235,0.8689080476760864,1.322170615196228,0.654275119304657,0.6226415038108826
5,0.7443686723709106,0.9264310002326965,9.999999747378752e-05,0.8119499087333679,0.7831325531005859,0.6850588917732239,0.5742924809455872,0.7991201281547546,1.5594944953918457,0.5946969985961914,0.5554245114326477
6,0.7819797396659851,0.9398876428604126,9.999999747378752e-05,0.7474106550216675,0.8157833814620972,0.7284563183784485,0.5377358198165894,0.7300583720207214,2.283273458480835,0.5558343529701233,0.5224056839942932
7,0.7906592488288879,0.9473411440849304,9.999999747378752e-05,0.7038493156433105,0.8240489363670349,0.7520148754119873,0.3349056541919708,0.659054696559906,3.311680555343628,0.3386114537715912,0.3278301954269409
8,0.7844595909118652,0.9433712363243103,9.999999747378752e-05,0.7234920263290405,0.8106828927993774,0.7433354258537292,0.38679245114326477,0.7071688175201416,2.5383963584899902,0.3868159055709839,0.3667452931404114
9,0.7929324507713318,0.9488928914070129,9.999999747378752e-05,0.6929479241371155,0.8256922364234924,0.751808226108551,0.6662735939025879,0.8923189043998718,1.2284315824508667,0.680538535118103,0.6556603908538818
10,0.8003720045089722,0.9537155628204346,9.999999747378752e-05,0.6605697870254517,0.8302226066589355,0.7629675269126892,0.5683962106704712,0.8279889225959778,1.5507124662399292,0.5769230723381042,0.5483490824699402
11,0.8049183487892151,0.9544852375984192,9.999999747378752e-05,0.6533112525939941,0.8328511118888855,0.773300290107727,0.5094339847564697,0.7945449948310852,1.7209974527359009,0.5221238732337952,0.4870283007621765
12,0.8162843585014343,0.9568535685539246,9.999999747378752e-05,0.6371853947639465,0.8388521075248718,0.7852861881256104,0.7665094137191772,0.9431033730506897,0.7629496455192566,0.7874214053153992,0.7382075190544128
13,0.8249638080596924,0.9608573317527771,9.999999747378752e-05,0.6079287528991699,0.8504983186721802,0.7935523986816406,0.7429245114326477,0.8981510400772095,1.0645869970321655,0.7605459094047546,0.7228773832321167
14,0.8245505094528198,0.9633138179779053,9.999999747378752e-05,0.5914019346237183,0.8462210297584534,0.8005786538124084,0.7841981053352356,0.9408016204833984,0.7740009427070618,0.8142493367195129,0.7547169923782349
15,0.8290969133377075,0.9613964557647705,9.999999747378752e-05,0.6015428900718689,0.8489903211593628,0.799338698387146,0.7370283007621765,0.9075444936752319,0.9925397038459778,0.7521902322769165,0.7087264060974121
16,0.83033686876297,0.9645259976387024,9.999999747378752e-05,0.5804838538169861,0.8530442118644714,0.8049183487892151,0.7382075190544128,0.8973835706710815,1.0420300960540771,0.7558860182762146,0.7193396091461182
17,0.8251705169677734,0.9624781012535095,9.999999747378752e-05,0.5896923542022705,0.8463553190231323,0.8014052510261536,0.8679245114326477,0.9691588878631592,0.5414631962776184,0.8824257254600525,0.8408018946647644
18,0.8456292748451233,0.9680732488632202,9.999999747378752e-05,0.549824059009552,0.8632515668869019,0.8218640089035034,0.6521226167678833,0.8137286305427551,1.7430760860443115,0.6682927012443542,0.6462264060974121
19,0.8417028188705444,0.9666320085525513,9.999999747378752e-05,0.5554832220077515,0.8591427803039551,0.8243438601493835,0.7641509175300598,0.9333421587944031,0.8064024448394775,0.7737226486206055,0.75
20,0.8479024767875671,0.9681692123413086,9.999999747378752e-05,0.5434422492980957,0.8668994307518005,0.8210374116897583,0.6686320900917053,0.875265896320343,1.2265297174453735,0.6765799522399902,0.6438679099082947
21,0.8559619784355164,0.9713937044143677,9.999999747378752e-05,0.517691969871521,0.8727784752845764,0.8321967124938965,0.7806603908538818,0.936430037021637,0.7912229895591736,0.7936893105506897,0.7712264060974121
22,0.8522421717643738,0.9707806706428528,9.999999747378752e-05,0.5209410786628723,0.8683697581291199,0.8288902640342712,0.7712264060974121,0.9398772120475769,0.7533515095710754,0.788249671459198,0.7594339847564697
23,0.8617482781410217,0.9758779406547546,4.999999873689376e-05,0.4803125560283661,0.8793548345565796,0.8450093269348145,0.8584905862808228,0.9728677868843079,0.5022099614143372,0.8751530051231384,0.8431603908538818
24,0.8634015321731567,0.975688636302948,4.999999873689376e-05,0.48145899176597595,0.8798624277114868,0.8460425734519958,0.864386796951294,0.9707839488983154,0.5131030678749084,0.871548593044281,0.8561320900917053
25,0.8712543845176697,0.9767379760742188,4.999999873689376e-05,0.4656927287578583,0.884590744972229,0.8553420305252075,0.8950471878051758,0.9817155599594116,0.42493385076522827,0.9050480723381042,0.8879716992378235
26,0.8574085831642151,0.9740515351295471,4.999999873689376e-05,0.48850980401039124,0.8760188817977905,0.8439760208129883,0.8372641801834106,0.957561731338501,0.6138389110565186,0.8518971800804138,0.8207547068595886
27,0.8710477352142334,0.9782201051712036,4.999999873689376e-05,0.4570169150829315,0.8866552710533142,0.8567885756492615,0.8525943160057068,0.9685664176940918,0.5296913981437683,0.8754624128341675,0.8372641801834106
28,0.8681545853614807,0.9773268103599548,4.999999873689376e-05,0.4619520902633667,0.8843756914138794,0.8503823280334473,0.8808962106704712,0.9777259826660156,0.4525713324546814,0.8938480019569397,0.8738207817077637
29,0.8735275864601135,0.9772988557815552,4.999999873689376e-05,0.4578000605106354,0.8893178701400757,0.8567885756492615,0.7735849022865295,0.9326646327972412,0.8193750977516174,0.7903822660446167,0.7558962106704712
